product_id,product_name,condition,purchase_unit_cost,purchase_quantity,quantity_available,inventory_status,description_base,purchase_date,purchase_shipping_cost,other_purchase_expense,manufacturer_model_number,storage_location,memo
"DEMO-202606-0001","オリーブ オックスフォードシャツ","like_new","1000","1","0","out_of_stock","デモ商品です。オックスフォードシャツの状態と相場を確認して出品してください。","2026-06-05","230","300","DEMO-00001","棚A-02","2026年6月仕入れのデモデータ"
"DEMO-202606-0012","オリーブ コットンTシャツ","new","1300","1","0","out_of_stock","デモ商品です。コットンTシャツの状態と相場を確認して出品してください。","2026-06-06","230","0","DEMO-00012","ラック-03","2026年6月仕入れのデモデータ"
"DEMO-202606-0007","ネイビー セルビッジデニム","damaged","5200","1","0","out_of_stock","デモ商品です。セルビッジデニムの状態と相場を確認して出品してください。","2026-06-08","520","0","DEMO-00007","棚B-02","2026年6月仕入れのデモデータ"
"DEMO-202606-0004","オリーブ ナイロンリュック","like_new","4600","1","1","listed","デモ商品です。ナイロンリュックの状態と相場を確認して出品してください。","2026-06-09","750","200","DEMO-00004","棚A-01","2026年6月仕入れのデモデータ"
"DEMO-202606-0010","ネイビー キャンバストート","damaged","1900","1","0","out_of_stock","デモ商品です。キャンバストートの状態と相場を確認して出品してください。","2026-06-09","520","200","DEMO-00010","棚B-02","2026年6月仕入れのデモデータ"
"DEMO-202606-0008","ブラウン コットンTシャツ","used","700","1","1","draft","デモ商品です。コットンTシャツの状態と相場を確認して出品してください。","2026-06-11","230","100","DEMO-00008","棚C-01","2026年6月仕入れのデモデータ"
"DEMO-202606-0005","オリーブ オックスフォードシャツ","damaged","2100","1","0","out_of_stock","デモ商品です。オックスフォードシャツの状態と相場を確認して出品してください。","2026-06-13","230","200","DEMO-00005","棚A-02","2026年6月仕入れのデモデータ"
"DEMO-202606-0002","ブラック クォーツ腕時計","new","5800","1","0","out_of_stock","デモ商品です。クォーツ腕時計の状態と相場を確認して出品してください。","2026-06-17","450","0","DEMO-00002","棚B-02","2026年6月仕入れのデモデータ"
"DEMO-202606-0013","ブラック コットンTシャツ","damaged","1300","1","0","out_of_stock","デモ商品です。コットンTシャツの状態と相場を確認して出品してください。","2026-06-17","230","200","DEMO-00013","棚B-02","2026年6月仕入れのデモデータ"
"DEMO-202606-0003","アイボリー キャンバストート","used_good","3000","1","1","in_stock","デモ商品です。キャンバストートの状態と相場を確認して出品してください。","2026-06-18","520","100","DEMO-00003","保管箱-02","2026年6月仕入れのデモデータ"
"DEMO-202606-0006","オリーブ クルーネックスウェット","used","2900","1","1","draft","デモ商品です。クルーネックスウェットの状態と相場を確認して出品してください。","2026-06-19","450","0","DEMO-00006","棚A-01","2026年6月仕入れのデモデータ"
"DEMO-202606-0011","カーキ オックスフォードシャツ","junk","2400","1","0","out_of_stock","デモ商品です。オックスフォードシャツの状態と相場を確認して出品してください。","2026-06-24","230","0","DEMO-00011","保管箱-02","2026年6月仕入れのデモデータ"
"DEMO-202606-0009","ブラウン コットンTシャツ","damaged","1000","1","0","out_of_stock","デモ商品です。コットンTシャツの状態と相場を確認して出品してください。","2026-06-25","230","0","DEMO-00009","棚A-01","2026年6月仕入れのデモデータ"
"DEMO-202607-0023","アイボリー ナイロンショーツ","used_good","2300","1","0","out_of_stock","デモ商品です。ナイロンショーツの状態と相場を確認して出品してください。","2026-07-01","230","200","DEMO-00023","棚A-02","2026年7月仕入れのデモデータ"
"DEMO-202607-0015","オリーブ ナイロンショーツ","like_new","800","1","1","in_stock","デモ商品です。ナイロンショーツの状態と相場を確認して出品してください。","2026-07-02","230","0","DEMO-00015","棚A-02","2026年7月仕入れのデモデータ"
"DEMO-202607-0030","グレー クルーネックスウェット","used","2500","1","0","out_of_stock","デモ商品です。クルーネックスウェットの状態と相場を確認して出品してください。","2026-07-05","450","0","DEMO-00030","保管箱-01","2026年7月仕入れのデモデータ"
"DEMO-202607-0031","カーキ コットンTシャツ","like_new","1600","1","1","listed","デモ商品です。コットンTシャツの状態と相場を確認して出品してください。","2026-07-06","230","200","DEMO-00031","棚B-02","2026年7月仕入れのデモデータ"
"DEMO-202607-0021","ベージュ コットンTシャツ","junk","1300","1","0","out_of_stock","デモ商品です。コットンTシャツの状態と相場を確認して出品してください。","2026-07-07","230","300","DEMO-00021","ラック-03","2026年7月仕入れのデモデータ"
"DEMO-202607-0022","アイボリー チノトラウザー","used","1000","1","0","out_of_stock","デモ商品です。チノトラウザーの状態と相場を確認して出品してください。","2026-07-08","450","200","DEMO-00022","ラック-03","2026年7月仕入れのデモデータ"
"DEMO-202607-0025","ベージュ ナイロンショーツ","unused","2400","1","0","out_of_stock","デモ商品です。ナイロンショーツの状態と相場を確認して出品してください。","2026-07-08","230","0","DEMO-00025","ラック-03","2026年7月仕入れのデモデータ"
"DEMO-202607-0027","オリーブ ナイロンリュック","new","4100","1","0","out_of_stock","デモ商品です。ナイロンリュックの状態と相場を確認して出品してください。","2026-07-08","750","200","DEMO-00027","棚A-01","2026年7月仕入れのデモデータ"
"DEMO-202607-0014","ネイビー キャンバストート","damaged","2700","1","1","listed","デモ商品です。キャンバストートの状態と相場を確認して出品してください。","2026-07-09","520","200","DEMO-00014","棚A-02","2026年7月仕入れのデモデータ"
"DEMO-202607-0020","ブラウン オックスフォードシャツ","damaged","2600","1","0","out_of_stock","デモ商品です。オックスフォードシャツの状態と相場を確認して出品してください。","2026-07-10","230","300","DEMO-00020","棚B-01","2026年7月仕入れのデモデータ"
"DEMO-202607-0024","オリーブ コットンTシャツ","damaged","400","1","1","listed","デモ商品です。コットンTシャツの状態と相場を確認して出品してください。","2026-07-11","230","0","DEMO-00024","棚B-01","2026年7月仕入れのデモデータ"
