management_id,title,comment,platform,大ジャンル,小ジャンル,purchase_price,sold_price,shipping_fee,sales_fee_rate,status,sold_at
"DUMMY-202501-0001","ブルー シャツ 良品","CSVダミーデータ 2025年1月 売上・利益・ジャンル分析検証用","ヤフオク","トップス","シャツ","2740","4000","230","10","sold","2025-01-29"
"DUMMY-202501-0002","ブラック ショートパンツ 一点物","CSVダミーデータ 2025年1月 売上・利益・ジャンル分析検証用","ラクマ","ボトムス","ショートパンツ","2900","3700","210","10","sold","2025-01-15"
"DUMMY-202501-0003","カーキ ナイロンジャケット ストリート","CSVダミーデータ 2025年1月 売上・利益・ジャンル分析検証用","Yahooフリマ","アウター","ナイロンジャケット","7190","15100","750","5","sold","2025-01-07"
"DUMMY-202501-0004","ブルー スニーカー 一点物","CSVダミーデータ 2025年1月 売上・利益・ジャンル分析検証用","ラクマ","シューズ","スニーカー","3740","4200","850","10","sold","2025-01-27"
"DUMMY-202501-0005","ベージュ リュック 一点物","CSVダミーデータ 2025年1月 売上・利益・ジャンル分析検証用","Yahooフリマ","バッグ","リュック","2770","5700","520","5","sold","2025-01-08"
"DUMMY-202501-0006","ブラック トートバッグ ヴィンテージ","CSVダミーデータ 2025年1月 売上・利益・ジャンル分析検証用","ヤフオク","バッグ","トートバッグ","4190","8300","520","10","sold","2025-01-23"
"DUMMY-202501-0007","グリーン チノパン ヴィンテージ","CSVダミーデータ 2025年1月 売上・利益・ジャンル分析検証用","ラクマ","ボトムス","チノパン","3350","5300","450","10","sold","2025-01-04"
"DUMMY-202502-0008","ブラウン ニット 美品","CSVダミーデータ 2025年2月 売上・利益・ジャンル分析検証用","ヤフオク","トップス","ニット","2310","5300","230","10","sold","2025-02-28"
"DUMMY-202502-0009","ブラック Gジャン 訳あり","CSVダミーデータ 2025年2月 売上・利益・ジャンル分析検証用","メルカリ","アウター","Gジャン","6090","13700","1000","10","sold","2025-02-18"
"DUMMY-202502-0010","ブルー シャツ ストリート","CSVダミーデータ 2025年2月 売上・利益・ジャンル分析検証用","ヤフオク","トップス","シャツ","2570","6100","520","10","sold","2025-02-10"
"DUMMY-202502-0011","ブラック スウェット 使用感あり","CSVダミーデータ 2025年2月 売上・利益・ジャンル分析検証用","ヤフオク","トップス","スウェット","3110","4700","450","10","sold","2025-02-03"
"DUMMY-202502-0012","ブルー パーカー 90s","CSVダミーデータ 2025年2月 売上・利益・ジャンル分析検証用","その他","トップス","パーカー","2990","7400","210","0","sold","2025-02-03"
"DUMMY-202502-0013","パープル パーカー 良品","CSVダミーデータ 2025年2月 売上・利益・ジャンル分析検証用 / 未売却ダミー","メルカリ","トップス","パーカー","2100","0","0","10","selling",""
"DUMMY-202502-0014","ネイビー その他 人気ブランド","CSVダミーデータ 2025年2月 売上・利益・ジャンル分析検証用","ヤフオク","その他","その他","1720","2700","230","10","sold","2025-02-26"
"DUMMY-202502-0015","ベージュ ブーツ 90s","CSVダミーデータ 2025年2月 売上・利益・ジャンル分析検証用 / 未売却ダミー","ヤフオク","シューズ","ブーツ","3380","0","0","10","selling",""
"DUMMY-202502-0016","パープル ブーツ ヴィンテージ","CSVダミーデータ 2025年2月 売上・利益・ジャンル分析検証用 / 下書きダミー","ラクマ","シューズ","ブーツ","3670","0","0","10","draft",""
"DUMMY-202502-0017","ネイビー Tシャツ きれいめ","CSVダミーデータ 2025年2月 売上・利益・ジャンル分析検証用","メルカリ","トップス","Tシャツ","2960","6300","230","10","sold","2025-02-06"
"DUMMY-202502-0018","レッド トートバッグ 良品","CSVダミーデータ 2025年2月 売上・利益・ジャンル分析検証用","メルカリ","バッグ","トートバッグ","2890","6800","520","10","sold","2025-02-22"
"DUMMY-202503-0019","ブルー シャツ ストリート","CSVダミーデータ 2025年3月 売上・利益・ジャンル分析検証用","メルカリ","トップス","シャツ","2340","5300","230","10","sold","2025-03-28"
"DUMMY-202503-0020","ネイビー ダウン 90s","CSVダミーデータ 2025年3月 売上・利益・ジャンル分析検証用","メルカリ","アウター","ダウン","5990","17800","1400","10","sold","2025-03-10"
"DUMMY-202503-0021","ホワイト ショートパンツ ヴィンテージ","CSVダミーデータ 2025年3月 売上・利益・ジャンル分析検証用","ヤフオク","ボトムス","ショートパンツ","2150","4000","450","10","sold","2025-03-30"
"DUMMY-202503-0022","カーキ スウェット 使用感あり","CSVダミーデータ 2025年3月 売上・利益・ジャンル分析検証用","ラクマ","トップス","スウェット","2870","7600","230","10","sold","2025-03-10"
